PBO Assigned To,Address
Lew's Drive-In,1105 N Washington AVE
"Karl's Complete Auto Repair, Inc.",1109 N Washington AVE
Enticing Cuisine,1117 N Washington AVE
Eckblade Floors,1119 N Washington AVE
You can & You will,12 S Van Buren ST
3D’s NAILS,16 S Van Buren ST
Batavia Diner,20 S Van Buren ST
Apartments - Marconi,227 N Washington AVE
Barco Products,24 N Washington AVE
Berkeley Finer Foods,28 S Van Buren ST
Pepe's Restaurant,4 S Van Buren ST
Six Unit Condo Assn.,613 S Van Buren ST
Portraits by Cecee,8 S Van Buren ST
Green Meadows Apartments,1101 W Wilson ST
Green Meadows Apartments,1107 W Wilson ST
Green Meadows Apartments,1109 W Wilson ST
Green Meadows Apartments,1117 W Wilson ST
Green Meadows Apartments,1119 W Wilson ST
Green Meadows Apartments,1125 W Wilson ST
Green Meadows Apartments,1127 W Wilson ST
Green Meadows Apartments,1133 W Wilson ST
Green Meadows Apartments,1135 W Wilson ST
Green Meadows Apartments,1141 W Wilson ST
Green Meadows Apartments,1143 W Wilson ST
Green Meadows Apartments,1151 W Wilson ST
Green Meadows Apartments,1153 W Wilson ST
Green Meadows Apartments,1161 W Wilson ST
Green Meadows Apartments,1163 W Wilson ST
Green Meadows Apartments,1169 W Wilson ST
Green Meadows Apartments,1171 W Wilson ST
Green Meadows Apartments,1177 W Wilson ST
Green Meadows Apartments,1179 W Wilson ST
Green Meadows Apartments,1185 W Wilson ST
Green Meadows Apartments Clubhouse,1187 W Wilson ST
Paris Nails,11 S Randall RD
Subway,13 S Randall RD
Elite Tutoring Place,15 S Randall RD
Windmill Dental Care,17 S Randall RD
T-Mobile,19 S Randall RD
Oui Travel Agency,5 S Randall RD
Kid Strong,53 S Randall RD
Xfinity,57 S Randall RD
Maya's Furniture,75 S Randall RD
VACANT,77 S Randall RD
Dance Dynamics,79 S Randall RD
East China Inn,9 S Randall RD
Batavia Police Department,100 N Island AVE
Batavia City Hall,100 N Island AVE
Albright Theater,100 N Island AVE
Patrick Garvin D.D.S.,101 N Lincoln ST
Peg Bond Center,151 N Island AVE
Vacant,20 N Lincoln ST
Vacant,21 N Water ST
White Water Filters,23 N Water ST
High Wire Network,30 N Lincoln ST
Bethany Elderday Care,328 W Wilson ST
Bethany Lutheran Church,8 S Lincoln ST
Jewel-Osco,119 S Randall RD
Dave's Hot Chicken,125 S. Randall
Pizza Hut - Taco Bell Express,134 S Randall RD
,141 S Randall RD
Crosskicks Fitness,143 S Randall RD
Dutchess Dispensary,144 S Randall RD
GNC,145 S Randall RD
VACANT,147 S Randall RD
Shell Oil,164 S Randall RD
Harris Bank (Randall Rd),185 S Randall RD
Triple Auto Service Center,271 S Randall RD
Tuffy,301 S Randall RD
Firestone,351 S Randall RD
Little Brothers,39W135 Seavey RD
Association for Inividual Development,426 Roberts LN
Fernando's Street Kitchen,12 S Water ST
Quarry Stone Pond,132 N Water ST
Quarry Stone Pond,148 N Water ST
The Room Fox Valley,160 S Water ST
Water Street Studios,160 S Water ST
Factor,170 S Water ST
Quarry Stone Pond,206 N Water ST
Quarry Stone Pond,218 N Water ST
Batavia Business Tower,28 S Water ST
vacant,34 N Water ST
vacant,34 N Water ST
"Green Seed / Rideau Packaging, Inc.",1005 Paramount PKY
"Green Seed / Rideau Packaging, Inc.",1025 Paramount PKY
Nagel Trucking,1043 Paramount PKY
Axle Equipment,1049 Paramount PKY
Batavia Diner II,1055 Paramount PKY
Mat Masters,1055 Paramount PKY
Minuteman Furniture Restoration,1055 Paramount PKY
"M.R. Alsobrook, Inc.",1055 Paramount PKY
DFL Tool Inc.,1055 Paramount PKY
"Bridge Street, LLC",1055 Paramount PKY
"True North Quality Homes, LLC",1055 Paramount PKY
CFS Brands,1100 Paramount PKY
10 N. River  Apartments,10 N River ST
Tusk Thai Cuisine,102 N River ST
City of Batavia,106 N River ST
Rivers Edge Bar and Grill,12 N River ST
The Book Shop,15 N River ST
The Instrument Exchange,17 N River ST
Bruce Harris and Associates,19 N River ST
Vacant,21 N River ST
Vacant,27 N River ST
Tea Tree Shop,29 N River ST
Pal Joeys,31 N River ST
Market Delta,335 N River ST
Vacant,405 N River ST
Interior for Business,409 N River ST
El Taco Grande,6 N River ST
Katrina Salon,8 N River ST
Ace Vision Ultrasound,155 Oswalt AVE
Komal Passion Leather Ltd.,1550 Beach ST
Power House Tool,167 Oswalt AVE
Ash Equipment,179 Oswalt AVE
Fox River Car Wash,19 S Prairie ST
Diamond Coat,201 Oswald AVE
